month,站点,深度_m,u_m_s,v_m_s,流速_m_s
2021-01,陵水,5.0,nan,nan,
2021-01,陵水,15.0,nan,nan,
2021-01,陵水,25.0,nan,nan,
2021-01,陵水,35.0,nan,nan,
2021-01,陵水,45.0,nan,nan,
2021-01,陵水,55.0,nan,nan,
2021-01,陵水,65.0,nan,nan,
2021-01,陵水,75.0,nan,nan,
2021-01,陵水,85.0,nan,nan,
2021-01,陵水,95.0,nan,nan,
2021-01,陵水,105.0,nan,nan,
2021-01,陵水,115.0,nan,nan,
2021-01,陵水,125.0,nan,nan,
2021-01,陵水,135.0,nan,nan,
2021-01,陵水,145.0,nan,nan,
2021-01,陵水,155.0,nan,nan,
2021-01,陵水,165.0,nan,nan,
2021-01,陵水,175.0,nan,nan,
2021-01,陵水,185.0,nan,nan,
2021-01,陵水,195.0,nan,nan,
2021-01,陵水,205.0,nan,nan,
2021-01,陵水,215.0,nan,nan,
2021-01,陵水,225.0,nan,nan,
2021-01,陵水,238.0,nan,nan,
2021-01,陵水,262.0,nan,nan,
2021-01,陵水,303.0,nan,nan,
2021-01,陵水,366.0,nan,nan,
2021-01,陵水,459.0,nan,nan,
2021-01,陵水,584.0,nan,nan,
2021-01,陵水,747.0,nan,nan,
2021-01,陵水,949.0,nan,nan,
2021-01,陵水,1193.0,nan,nan,
2021-01,陵水,1479.0,nan,nan,
2021-01,陵水,1807.0,nan,nan,
2021-01,陵水,2174.0,nan,nan,
2021-01,陵水,2579.0,nan,nan,
2021-01,陵水,3016.0,nan,nan,
2021-01,陵水,3483.0,nan,nan,
2021-01,陵水,3972.0,nan,nan,
2021-01,陵水,4478.0,nan,nan,
2021-02,陵水,5.0,nan,nan,
2021-02,陵水,15.0,nan,nan,
2021-02,陵水,25.0,nan,nan,
2021-02,陵水,35.0,nan,nan,
2021-02,陵水,45.0,nan,nan,
2021-02,陵水,55.0,nan,nan,
2021-02,陵水,65.0,nan,nan,
2021-02,陵水,75.0,nan,nan,
2021-02,陵水,85.0,nan,nan,
2021-02,陵水,95.0,nan,nan,
2021-02,陵水,105.0,nan,nan,
2021-02,陵水,115.0,nan,nan,
2021-02,陵水,125.0,nan,nan,
2021-02,陵水,135.0,nan,nan,
2021-02,陵水,145.0,nan,nan,
2021-02,陵水,155.0,nan,nan,
2021-02,陵水,165.0,nan,nan,
2021-02,陵水,175.0,nan,nan,
2021-02,陵水,185.0,nan,nan,
2021-02,陵水,195.0,nan,nan,
2021-02,陵水,205.0,nan,nan,
2021-02,陵水,215.0,nan,nan,
2021-02,陵水,225.0,nan,nan,
2021-02,陵水,238.0,nan,nan,
2021-02,陵水,262.0,nan,nan,
2021-02,陵水,303.0,nan,nan,
2021-02,陵水,366.0,nan,nan,
2021-02,陵水,459.0,nan,nan,
2021-02,陵水,584.0,nan,nan,
2021-02,陵水,747.0,nan,nan,
2021-02,陵水,949.0,nan,nan,
2021-02,陵水,1193.0,nan,nan,
2021-02,陵水,1479.0,nan,nan,
2021-02,陵水,1807.0,nan,nan,
2021-02,陵水,2174.0,nan,nan,
2021-02,陵水,2579.0,nan,nan,
2021-02,陵水,3016.0,nan,nan,
2021-02,陵水,3483.0,nan,nan,
2021-02,陵水,3972.0,nan,nan,
2021-02,陵水,4478.0,nan,nan,
2021-03,陵水,5.0,nan,nan,
2021-03,陵水,15.0,nan,nan,
2021-03,陵水,25.0,nan,nan,
2021-03,陵水,35.0,nan,nan,
2021-03,陵水,45.0,nan,nan,
2021-03,陵水,55.0,nan,nan,
2021-03,陵水,65.0,nan,nan,
2021-03,陵水,75.0,nan,nan,
2021-03,陵水,85.0,nan,nan,
2021-03,陵水,95.0,nan,nan,
2021-03,陵水,105.0,nan,nan,
2021-03,陵水,115.0,nan,nan,
2021-03,陵水,125.0,nan,nan,
2021-03,陵水,135.0,nan,nan,
2021-03,陵水,145.0,nan,nan,
2021-03,陵水,155.0,nan,nan,
2021-03,陵水,165.0,nan,nan,
2021-03,陵水,175.0,nan,nan,
2021-03,陵水,185.0,nan,nan,
2021-03,陵水,195.0,nan,nan,
2021-03,陵水,205.0,nan,nan,
2021-03,陵水,215.0,nan,nan,
2021-03,陵水,225.0,nan,nan,
2021-03,陵水,238.0,nan,nan,
2021-03,陵水,262.0,nan,nan,
2021-03,陵水,303.0,nan,nan,
2021-03,陵水,366.0,nan,nan,
2021-03,陵水,459.0,nan,nan,
2021-03,陵水,584.0,nan,nan,
2021-03,陵水,747.0,nan,nan,
2021-03,陵水,949.0,nan,nan,
2021-03,陵水,1193.0,nan,nan,
2021-03,陵水,1479.0,nan,nan,
2021-03,陵水,1807.0,nan,nan,
2021-03,陵水,2174.0,nan,nan,
2021-03,陵水,2579.0,nan,nan,
2021-03,陵水,3016.0,nan,nan,
2021-03,陵水,3483.0,nan,nan,
2021-03,陵水,3972.0,nan,nan,
2021-03,陵水,4478.0,nan,nan,
2021-04,陵水,5.0,nan,nan,
2021-04,陵水,15.0,nan,nan,
2021-04,陵水,25.0,nan,nan,
2021-04,陵水,35.0,nan,nan,
2021-04,陵水,45.0,nan,nan,
2021-04,陵水,55.0,nan,nan,
2021-04,陵水,65.0,nan,nan,
2021-04,陵水,75.0,nan,nan,
2021-04,陵水,85.0,nan,nan,
2021-04,陵水,95.0,nan,nan,
2021-04,陵水,105.0,nan,nan,
2021-04,陵水,115.0,nan,nan,
2021-04,陵水,125.0,nan,nan,
2021-04,陵水,135.0,nan,nan,
2021-04,陵水,145.0,nan,nan,
2021-04,陵水,155.0,nan,nan,
2021-04,陵水,165.0,nan,nan,
2021-04,陵水,175.0,nan,nan,
2021-04,陵水,185.0,nan,nan,
2021-04,陵水,195.0,nan,nan,
2021-04,陵水,205.0,nan,nan,
2021-04,陵水,215.0,nan,nan,
2021-04,陵水,225.0,nan,nan,
2021-04,陵水,238.0,nan,nan,
2021-04,陵水,262.0,nan,nan,
2021-04,陵水,303.0,nan,nan,
2021-04,陵水,366.0,nan,nan,
2021-04,陵水,459.0,nan,nan,
2021-04,陵水,584.0,nan,nan,
2021-04,陵水,747.0,nan,nan,
2021-04,陵水,949.0,nan,nan,
2021-04,陵水,1193.0,nan,nan,
2021-04,陵水,1479.0,nan,nan,
2021-04,陵水,1807.0,nan,nan,
2021-04,陵水,2174.0,nan,nan,
2021-04,陵水,2579.0,nan,nan,
2021-04,陵水,3016.0,nan,nan,
2021-04,陵水,3483.0,nan,nan,
2021-04,陵水,3972.0,nan,nan,
2021-04,陵水,4478.0,nan,nan,
2021-05,陵水,5.0,nan,nan,
2021-05,陵水,15.0,nan,nan,
2021-05,陵水,25.0,nan,nan,
2021-05,陵水,35.0,nan,nan,
2021-05,陵水,45.0,nan,nan,
2021-05,陵水,55.0,nan,nan,
2021-05,陵水,65.0,nan,nan,
2021-05,陵水,75.0,nan,nan,
2021-05,陵水,85.0,nan,nan,
2021-05,陵水,95.0,nan,nan,
2021-05,陵水,105.0,nan,nan,
2021-05,陵水,115.0,nan,nan,
2021-05,陵水,125.0,nan,nan,
2021-05,陵水,135.0,nan,nan,
2021-05,陵水,145.0,nan,nan,
2021-05,陵水,155.0,nan,nan,
2021-05,陵水,165.0,nan,nan,
2021-05,陵水,175.0,nan,nan,
2021-05,陵水,185.0,nan,nan,
2021-05,陵水,195.0,nan,nan,
2021-05,陵水,205.0,nan,nan,
2021-05,陵水,215.0,nan,nan,
2021-05,陵水,225.0,nan,nan,
2021-05,陵水,238.0,nan,nan,
2021-05,陵水,262.0,nan,nan,
2021-05,陵水,303.0,nan,nan,
2021-05,陵水,366.0,nan,nan,
2021-05,陵水,459.0,nan,nan,
2021-05,陵水,584.0,nan,nan,
2021-05,陵水,747.0,nan,nan,
2021-05,陵水,949.0,nan,nan,
2021-05,陵水,1193.0,nan,nan,
2021-05,陵水,1479.0,nan,nan,
2021-05,陵水,1807.0,nan,nan,
2021-05,陵水,2174.0,nan,nan,
2021-05,陵水,2579.0,nan,nan,
2021-05,陵水,3016.0,nan,nan,
2021-05,陵水,3483.0,nan,nan,
2021-05,陵水,3972.0,nan,nan,
2021-05,陵水,4478.0,nan,nan,
2021-06,陵水,5.0,nan,nan,
2021-06,陵水,15.0,nan,nan,
2021-06,陵水,25.0,nan,nan,
2021-06,陵水,35.0,nan,nan,
2021-06,陵水,45.0,nan,nan,
2021-06,陵水,55.0,nan,nan,
2021-06,陵水,65.0,nan,nan,
2021-06,陵水,75.0,nan,nan,
2021-06,陵水,85.0,nan,nan,
2021-06,陵水,95.0,nan,nan,
2021-06,陵水,105.0,nan,nan,
2021-06,陵水,115.0,nan,nan,
2021-06,陵水,125.0,nan,nan,
2021-06,陵水,135.0,nan,nan,
2021-06,陵水,145.0,nan,nan,
2021-06,陵水,155.0,nan,nan,
2021-06,陵水,165.0,nan,nan,
2021-06,陵水,175.0,nan,nan,
2021-06,陵水,185.0,nan,nan,
2021-06,陵水,195.0,nan,nan,
2021-06,陵水,205.0,nan,nan,
2021-06,陵水,215.0,nan,nan,
2021-06,陵水,225.0,nan,nan,
2021-06,陵水,238.0,nan,nan,
2021-06,陵水,262.0,nan,nan,
2021-06,陵水,303.0,nan,nan,
2021-06,陵水,366.0,nan,nan,
2021-06,陵水,459.0,nan,nan,
2021-06,陵水,584.0,nan,nan,
2021-06,陵水,747.0,nan,nan,
2021-06,陵水,949.0,nan,nan,
2021-06,陵水,1193.0,nan,nan,
2021-06,陵水,1479.0,nan,nan,
2021-06,陵水,1807.0,nan,nan,
2021-06,陵水,2174.0,nan,nan,
