月,珠海_表层温度_degC,陵水_表层温度_degC
01,19.873058319091797,23.174365885117474
02,20.631332533700125,23.80939820233513
03,22.00536346435547,24.854499704697552
04,23.203454562595912,26.103780297672046
05,26.255647250584193,27.07641825956457
06,27.959390912737167,29.909653383142807
07,29.210916110447474,29.190334544462317
08,29.06304999760219,28.900432586669922
09,29.157497269766672,28.713440277997186
10,26.545094898768834,26.86103573967429
11,24.602759088788712,26.26863692788517
12,22.908000537327357,25.231159322402057
