站点,深度_m,温度_degC
珠海,0.0,25.117963654654368
珠海,5.0,24.94214289528983
珠海,10.0,24.751705714634486
珠海,15.0,24.66390260060628
珠海,20.0,24.450641632080078
珠海,25.0,24.25186080932617
珠海,30.0,24.06663360595703
珠海,35.0,24.038497924804688
珠海,40.0,23.786147594451904
珠海,45.0,23.464157104492188
珠海,50.0,23.192960103352863
珠海,55.0,nan
珠海,60.0,nan
珠海,65.0,nan
珠海,70.0,nan
珠海,75.0,nan
珠海,80.0,nan
珠海,85.0,nan
珠海,90.0,nan
珠海,95.0,nan
珠海,100.0,nan
珠海,125.0,nan
珠海,150.0,nan
珠海,175.0,nan
珠海,200.0,nan
珠海,225.0,nan
珠海,250.0,nan
珠海,275.0,nan
珠海,300.0,nan
珠海,325.0,nan
珠海,350.0,nan
珠海,375.0,nan
珠海,400.0,nan
珠海,425.0,nan
珠海,450.0,nan
珠海,475.0,nan
珠海,500.0,nan
珠海,550.0,nan
珠海,600.0,nan
珠海,650.0,nan
珠海,700.0,nan
珠海,750.0,nan
珠海,800.0,nan
珠海,850.0,nan
珠海,900.0,nan
珠海,950.0,nan
珠海,1000.0,nan
珠海,1050.0,nan
珠海,1100.0,nan
珠海,1150.0,nan
珠海,1200.0,nan
珠海,1250.0,nan
珠海,1300.0,nan
珠海,1350.0,nan
珠海,1400.0,nan
珠海,1450.0,nan
珠海,1500.0,nan
珠海,1550.0,nan
珠海,1600.0,nan
珠海,1650.0,nan
珠海,1700.0,nan
珠海,1750.0,nan
珠海,1800.0,nan
珠海,1850.0,nan
珠海,1900.0,nan
珠海,1950.0,nan
珠海,2000.0,nan
珠海,2100.0,nan
珠海,2200.0,nan
珠海,2300.0,nan
珠海,2400.0,nan
珠海,2500.0,nan
珠海,2600.0,nan
珠海,2700.0,nan
珠海,2800.0,nan
珠海,2900.0,nan
珠海,3000.0,nan
珠海,3100.0,nan
珠海,3200.0,nan
珠海,3300.0,nan
珠海,3400.0,nan
珠海,3500.0,nan
珠海,3600.0,nan
珠海,3700.0,nan
珠海,3800.0,nan
珠海,3900.0,nan
珠海,4000.0,nan
珠海,4100.0,nan
珠海,4200.0,nan
珠海,4300.0,nan
珠海,4400.0,nan
珠海,4500.0,nan
珠海,4600.0,nan
珠海,4700.0,nan
珠海,4800.0,nan
珠海,4900.0,nan
珠海,5000.0,nan
珠海,5100.0,nan
珠海,5200.0,nan
珠海,5300.0,nan
珠海,5400.0,nan
珠海,5500.0,nan
陵水,0.0,26.674430510577032
陵水,5.0,26.628732456880456
陵水,10.0,26.51459245120778
陵水,15.0,26.254899417652805
陵水,20.0,25.880441329058478
陵水,25.0,25.417887631584616
陵水,30.0,24.95790111317354
陵水,35.0,24.52338078816732
陵水,40.0,24.090017318725586
陵水,45.0,23.743360137939455
陵水,50.0,23.372882843017578
陵水,55.0,23.0055292569674
陵水,60.0,22.742816044734074
陵水,65.0,22.427636219904972
陵水,70.0,22.094963954045223
陵水,75.0,21.796651106614334
陵水,80.0,21.480758508046467
陵水,85.0,21.24146184054288
陵水,90.0,21.035021018981933
陵水,95.0,20.73440784878201
陵水,100.0,20.253606033325195
陵水,125.0,nan
陵水,150.0,nan
陵水,175.0,nan
陵水,200.0,nan
陵水,225.0,nan
陵水,250.0,nan
陵水,275.0,nan
陵水,300.0,nan
陵水,325.0,nan
陵水,350.0,nan
陵水,375.0,nan
陵水,400.0,nan
陵水,425.0,nan
陵水,450.0,nan
陵水,475.0,nan
陵水,500.0,nan
陵水,550.0,nan
陵水,600.0,nan
陵水,650.0,nan
陵水,700.0,nan
陵水,750.0,nan
陵水,800.0,nan
陵水,850.0,nan
陵水,900.0,nan
陵水,950.0,nan
陵水,1000.0,nan
陵水,1050.0,nan
陵水,1100.0,nan
陵水,1150.0,nan
陵水,1200.0,nan
陵水,1250.0,nan
陵水,1300.0,nan
陵水,1350.0,nan
陵水,1400.0,nan
陵水,1450.0,nan
陵水,1500.0,nan
陵水,1550.0,nan
陵水,1600.0,nan
陵水,1650.0,nan
陵水,1700.0,nan
陵水,1750.0,nan
陵水,1800.0,nan
陵水,1850.0,nan
陵水,1900.0,nan
陵水,1950.0,nan
陵水,2000.0,nan
陵水,2100.0,nan
陵水,2200.0,nan
陵水,2300.0,nan
陵水,2400.0,nan
陵水,2500.0,nan
陵水,2600.0,nan
陵水,2700.0,nan
陵水,2800.0,nan
陵水,2900.0,nan
陵水,3000.0,nan
陵水,3100.0,nan
陵水,3200.0,nan
陵水,3300.0,nan
陵水,3400.0,nan
陵水,3500.0,nan
陵水,3600.0,nan
陵水,3700.0,nan
陵水,3800.0,nan
陵水,3900.0,nan
陵水,4000.0,nan
陵水,4100.0,nan
陵水,4200.0,nan
陵水,4300.0,nan
陵水,4400.0,nan
陵水,4500.0,nan
陵水,4600.0,nan
陵水,4700.0,nan
陵水,4800.0,nan
陵水,4900.0,nan
陵水,5000.0,nan
陵水,5100.0,nan
陵水,5200.0,nan
陵水,5300.0,nan
陵水,5400.0,nan
陵水,5500.0,nan
