站点,深度_m,盐度_PSU
珠海,0.0,33.39279474530901
珠海,5.0,33.556927817208425
珠海,10.0,33.70183508736746
珠海,15.0,33.85913689931234
珠海,20.0,33.97556718190511
珠海,25.0,34.02015762329101
珠海,30.0,34.08411827087402
珠海,35.0,34.158240509033206
珠海,40.0,34.1943941116333
珠海,45.0,34.228570302327476
珠海,50.0,34.25037384033203
珠海,55.0,nan
珠海,60.0,nan
珠海,65.0,nan
珠海,70.0,nan
珠海,75.0,nan
珠海,80.0,nan
珠海,85.0,nan
珠海,90.0,nan
珠海,95.0,nan
珠海,100.0,nan
珠海,125.0,nan
珠海,150.0,nan
珠海,175.0,nan
珠海,200.0,nan
珠海,225.0,nan
珠海,250.0,nan
珠海,275.0,nan
珠海,300.0,nan
珠海,325.0,nan
珠海,350.0,nan
珠海,375.0,nan
珠海,400.0,nan
珠海,425.0,nan
珠海,450.0,nan
珠海,475.0,nan
珠海,500.0,nan
珠海,550.0,nan
珠海,600.0,nan
珠海,650.0,nan
珠海,700.0,nan
珠海,750.0,nan
珠海,800.0,nan
珠海,850.0,nan
珠海,900.0,nan
珠海,950.0,nan
珠海,1000.0,nan
珠海,1050.0,nan
珠海,1100.0,nan
珠海,1150.0,nan
珠海,1200.0,nan
珠海,1250.0,nan
珠海,1300.0,nan
珠海,1350.0,nan
珠海,1400.0,nan
珠海,1450.0,nan
珠海,1500.0,nan
珠海,1550.0,nan
珠海,1600.0,nan
珠海,1650.0,nan
珠海,1700.0,nan
珠海,1750.0,nan
珠海,1800.0,nan
珠海,1850.0,nan
珠海,1900.0,nan
珠海,1950.0,nan
珠海,2000.0,nan
珠海,2100.0,nan
珠海,2200.0,nan
珠海,2300.0,nan
珠海,2400.0,nan
珠海,2500.0,nan
珠海,2600.0,nan
珠海,2700.0,nan
珠海,2800.0,nan
珠海,2900.0,nan
珠海,3000.0,nan
珠海,3100.0,nan
珠海,3200.0,nan
珠海,3300.0,nan
珠海,3400.0,nan
珠海,3500.0,nan
珠海,3600.0,nan
珠海,3700.0,nan
珠海,3800.0,nan
珠海,3900.0,nan
珠海,4000.0,nan
珠海,4100.0,nan
珠海,4200.0,nan
珠海,4300.0,nan
珠海,4400.0,nan
珠海,4500.0,nan
珠海,4600.0,nan
珠海,4700.0,nan
珠海,4800.0,nan
珠海,4900.0,nan
珠海,5000.0,nan
珠海,5100.0,nan
珠海,5200.0,nan
珠海,5300.0,nan
珠海,5400.0,nan
珠海,5500.0,nan
陵水,0.0,33.796170851763556
陵水,5.0,33.85100398344152
陵水,10.0,33.86510355332319
陵水,15.0,33.885722889619714
陵水,20.0,33.91660286398495
陵水,25.0,33.93745130651138
陵水,30.0,33.961922365076404
陵水,35.0,33.99384689331055
陵水,40.0,34.023111724853514
陵水,45.0,34.05987040201823
陵水,50.0,34.08476311819894
陵水,55.0,34.10514978262094
陵水,60.0,34.15369620689979
陵水,65.0,34.18330940833459
陵水,70.0,34.202367342435394
陵水,75.0,34.238233713003304
陵水,80.0,34.28582445780436
陵水,85.0,34.320100957697086
陵水,90.0,34.34127235412598
陵水,95.0,34.361416286892364
陵水,100.0,34.40178298950195
陵水,125.0,nan
陵水,150.0,nan
陵水,175.0,nan
陵水,200.0,nan
陵水,225.0,nan
陵水,250.0,nan
陵水,275.0,nan
陵水,300.0,nan
陵水,325.0,nan
陵水,350.0,nan
陵水,375.0,nan
陵水,400.0,nan
陵水,425.0,nan
陵水,450.0,nan
陵水,475.0,nan
陵水,500.0,nan
陵水,550.0,nan
陵水,600.0,nan
陵水,650.0,nan
陵水,700.0,nan
陵水,750.0,nan
陵水,800.0,nan
陵水,850.0,nan
陵水,900.0,nan
陵水,950.0,nan
陵水,1000.0,nan
陵水,1050.0,nan
陵水,1100.0,nan
陵水,1150.0,nan
陵水,1200.0,nan
陵水,1250.0,nan
陵水,1300.0,nan
陵水,1350.0,nan
陵水,1400.0,nan
陵水,1450.0,nan
陵水,1500.0,nan
陵水,1550.0,nan
陵水,1600.0,nan
陵水,1650.0,nan
陵水,1700.0,nan
陵水,1750.0,nan
陵水,1800.0,nan
陵水,1850.0,nan
陵水,1900.0,nan
陵水,1950.0,nan
陵水,2000.0,nan
陵水,2100.0,nan
陵水,2200.0,nan
陵水,2300.0,nan
陵水,2400.0,nan
陵水,2500.0,nan
陵水,2600.0,nan
陵水,2700.0,nan
陵水,2800.0,nan
陵水,2900.0,nan
陵水,3000.0,nan
陵水,3100.0,nan
陵水,3200.0,nan
陵水,3300.0,nan
陵水,3400.0,nan
陵水,3500.0,nan
陵水,3600.0,nan
陵水,3700.0,nan
陵水,3800.0,nan
陵水,3900.0,nan
陵水,4000.0,nan
陵水,4100.0,nan
陵水,4200.0,nan
陵水,4300.0,nan
陵水,4400.0,nan
陵水,4500.0,nan
陵水,4600.0,nan
陵水,4700.0,nan
陵水,4800.0,nan
陵水,4900.0,nan
陵水,5000.0,nan
陵水,5100.0,nan
陵水,5200.0,nan
陵水,5300.0,nan
陵水,5400.0,nan
陵水,5500.0,nan
