month,站点,深度_m,u_m_s,v_m_s,流速_m_s
2021-01,珠海,5.0,-0.095875,-0.009325,0.096327
2021-01,珠海,15.0,-0.07945,0.00115,0.079458
2021-01,珠海,25.0,-0.07125,0.0042,0.071374
2021-01,珠海,35.0,-0.06555,0.005225,0.065758
2021-01,珠海,45.0,-0.060975,0.00555,0.061227
2021-01,珠海,55.0,-0.057025,0.005225,0.057264
2021-01,珠海,65.0,-0.0535,0.004325,0.053675
2021-01,珠海,75.0,-0.0502,0.002925,0.050285
2021-01,珠海,85.0,-0.047025,0.00075,0.047031
2021-01,珠海,95.0,-0.0446,-0.0024,0.044665
2021-01,珠海,105.0,-0.04335,-0.006,0.043763
2021-01,珠海,115.0,-0.0349,0.0109,0.036563
2021-01,珠海,125.0,-0.0361,0.004267,0.036351
2021-01,珠海,135.0,-0.039567,-0.000733,0.039573
2021-01,珠海,145.0,-0.041467,-0.002833,0.041563
2021-01,珠海,155.0,-0.039533,-0.002867,0.039637
2021-01,珠海,165.0,-0.0333,-0.0011,0.033318
2021-01,珠海,175.0,-0.024567,0.0001,0.024567
2021-01,珠海,185.0,-0.015533,-0.000733,0.015551
2021-01,珠海,195.0,0.00555,0.0076,0.009411
2021-01,珠海,205.0,0.0102,0.00995,0.014249
2021-01,珠海,215.0,0.01275,0.0106,0.016581
2021-01,珠海,225.0,0.01395,0.0105,0.01746
2021-01,珠海,238.0,0.0146,0.01005,0.017725
2021-01,珠海,262.0,0.01375,0.0088,0.016325
2021-01,珠海,303.0,0.0152,0.0183,0.023789
2021-01,珠海,366.0,0.018,0.016,0.024083
2021-01,珠海,459.0,0.0216,0.0106,0.024061
2021-01,珠海,584.0,,,
2021-01,珠海,747.0,,,
2021-01,珠海,949.0,,,
2021-01,珠海,1193.0,,,
2021-01,珠海,1479.0,,,
2021-01,珠海,1807.0,,,
2021-01,珠海,2174.0,,,
2021-01,珠海,2579.0,,,
2021-01,珠海,3016.0,,,
2021-01,珠海,3483.0,,,
2021-01,珠海,3972.0,,,
2021-01,珠海,4478.0,,,
2021-02,珠海,5.0,-0.03685,0.018325,0.041155
2021-02,珠海,15.0,-0.017875,0.0203,0.027048
2021-02,珠海,25.0,-0.010175,0.01815,0.020808
2021-02,珠海,35.0,-0.0058,0.015575,0.01662
2021-02,珠海,45.0,-0.002575,0.013625,0.013866
2021-02,珠海,55.0,-7.5e-05,0.01155,0.01155
2021-02,珠海,65.0,5e-05,0.00675,0.00675
2021-02,珠海,75.0,0.001175,0.0037,0.003882
2021-02,珠海,85.0,0.0021,0.00085,0.002266
2021-02,珠海,95.0,0.002425,-0.002625,0.003574
2021-02,珠海,105.0,0.001475,-0.006975,0.007129
2021-02,珠海,115.0,0.010967,0.002933,0.011352
2021-02,珠海,125.0,0.0079,-0.0014,0.008023
2021-02,珠海,135.0,0.001667,-0.003833,0.00418
2021-02,珠海,145.0,-0.0029,-0.003867,0.004833
2021-02,珠海,155.0,-0.004933,-0.002333,0.005457
2021-02,珠海,165.0,-0.0031,-0.000233,0.003109
2021-02,珠海,175.0,0.0004,0.001733,0.001779
2021-02,珠海,185.0,0.0045,0.002933,0.005372
2021-02,珠海,195.0,0.0194,0.00775,0.020891
2021-02,珠海,205.0,0.0221,0.01185,0.025077
2021-02,珠海,215.0,0.02385,0.01475,0.028043
2021-02,珠海,225.0,0.0246,0.01645,0.029593
2021-02,珠海,238.0,0.02475,0.01775,0.030457
2021-02,珠海,262.0,0.0235,0.0189,0.030157
2021-02,珠海,303.0,0.0184,0.0204,0.027472
2021-02,珠海,366.0,0.0213,0.0235,0.031717
2021-02,珠海,459.0,0.0269,0.021,0.034126
2021-02,珠海,584.0,,,
2021-02,珠海,747.0,,,
2021-02,珠海,949.0,,,
2021-02,珠海,1193.0,,,
2021-02,珠海,1479.0,,,
2021-02,珠海,1807.0,,,
2021-02,珠海,2174.0,,,
2021-02,珠海,2579.0,,,
2021-02,珠海,3016.0,,,
2021-02,珠海,3483.0,,,
2021-02,珠海,3972.0,,,
2021-02,珠海,4478.0,,,
2021-03,珠海,5.0,-0.045975,0.0595,0.075193
2021-03,珠海,15.0,-0.00865,0.0451,0.045922
2021-03,珠海,25.0,0.0129,0.02325,0.026589
2021-03,珠海,35.0,0.0091,0.0004,0.009109
2021-03,珠海,45.0,0.00445,-0.0038,0.005852
2021-03,珠海,55.0,0.00215,-0.006375,0.006728
2021-03,珠海,65.0,0.000825,-0.007625,0.00767
2021-03,珠海,75.0,0.000575,-0.00835,0.00837
2021-03,珠海,85.0,0.0004,-0.0089,0.008909
2021-03,珠海,95.0,-0.0001,-0.0096,0.009601
2021-03,珠海,105.0,-0.000125,-0.0123,0.012301
2021-03,珠海,115.0,0.008367,-0.002133,0.008634
2021-03,珠海,125.0,0.006567,-0.002167,0.006915
2021-03,珠海,135.0,0.005233,-0.002167,0.005664
2021-03,珠海,145.0,0.0055,-0.001833,0.005798
2021-03,珠海,155.0,0.006433,-0.000967,0.006506
2021-03,珠海,165.0,0.007667,0.000633,0.007693
2021-03,珠海,175.0,0.009967,0.002833,0.010362
2021-03,珠海,185.0,0.012233,0.0051,0.013254
2021-03,珠海,195.0,0.0175,0.0049,0.018173
2021-03,珠海,205.0,0.01735,0.00775,0.019002
2021-03,珠海,215.0,0.0171,0.0097,0.01966
2021-03,珠海,225.0,0.01685,0.011,0.020123
2021-03,珠海,238.0,0.01645,0.01205,0.020391
2021-03,珠海,262.0,0.01585,0.0129,0.020436
2021-03,珠海,303.0,0.0114,0.0073,0.013537
2021-03,珠海,366.0,0.0139,0.0135,0.019377
2021-03,珠海,459.0,0.0182,0.0146,0.023332
2021-03,珠海,584.0,,,
2021-03,珠海,747.0,,,
2021-03,珠海,949.0,,,
2021-03,珠海,1193.0,,,
2021-03,珠海,1479.0,,,
2021-03,珠海,1807.0,,,
2021-03,珠海,2174.0,,,
2021-03,珠海,2579.0,,,
2021-03,珠海,3016.0,,,
2021-03,珠海,3483.0,,,
2021-03,珠海,3972.0,,,
2021-03,珠海,4478.0,,,
2021-04,珠海,5.0,-0.06355,0.055725,0.084521
2021-04,珠海,15.0,-0.025,0.0241,0.034725
2021-04,珠海,25.0,-0.025525,-0.009075,0.02709
2021-04,珠海,35.0,-0.03265,-0.01445,0.035705
2021-04,珠海,45.0,-0.03395,-0.015175,0.037187
2021-04,珠海,55.0,-0.03445,-0.015825,0.037911
2021-04,珠海,65.0,-0.034375,-0.01635,0.038065
2021-04,珠海,75.0,-0.0343,-0.016325,0.037987
2021-04,珠海,85.0,-0.0341,-0.0166,0.037926
2021-04,珠海,95.0,-0.033975,-0.016775,0.037891
2021-04,珠海,105.0,-0.031825,-0.018,0.036563
2021-04,珠海,115.0,-0.0297,-0.006967,0.030506
2021-04,珠海,125.0,-0.028333,-0.006567,0.029084
2021-04,珠海,135.0,-0.026767,-0.0058,0.027388
2021-04,珠海,145.0,-0.025,-0.0045,0.025402
2021-04,珠海,155.0,-0.022733,-0.002967,0.022926
2021-04,珠海,165.0,-0.0198,-0.001267,0.01984
2021-04,珠海,175.0,-0.015733,0.000667,0.015747
2021-04,珠海,185.0,-0.012667,0.002067,0.012834
2021-04,珠海,195.0,-0.01235,-0.00345,0.012823
2021-04,珠海,205.0,-0.01125,-0.0025,0.011524
2021-04,珠海,215.0,-0.0103,-0.00185,0.010465
2021-04,珠海,225.0,-0.0094,-0.0014,0.009504
2021-04,珠海,238.0,-0.0084,-0.00095,0.008454
2021-04,珠海,262.0,-0.00725,-0.0009,0.007306
2021-04,珠海,303.0,-0.0077,-0.007,0.010406
2021-04,珠海,366.0,-0.0062,-0.0021,0.006546
2021-04,珠海,459.0,-0.0044,-0.0014,0.004617
2021-04,珠海,584.0,,,
2021-04,珠海,747.0,,,
2021-04,珠海,949.0,,,
2021-04,珠海,1193.0,,,
2021-04,珠海,1479.0,,,
2021-04,珠海,1807.0,,,
2021-04,珠海,2174.0,,,
2021-04,珠海,2579.0,,,
2021-04,珠海,3016.0,,,
2021-04,珠海,3483.0,,,
2021-04,珠海,3972.0,,,
2021-04,珠海,4478.0,,,
2021-05,珠海,5.0,0.017925,0.0088,0.019969
2021-05,珠海,15.0,-0.009175,0.001125,0.009244
2021-05,珠海,25.0,-0.01755,-0.000425,0.017555
2021-05,珠海,35.0,-0.025,-0.002075,0.025086
2021-05,珠海,45.0,-0.0308,-0.0036,0.03101
2021-05,珠海,55.0,-0.034675,-0.005175,0.035059
2021-05,珠海,65.0,-0.03645,-0.0065,0.037025
2021-05,珠海,75.0,-0.03715,-0.00735,0.03787
2021-05,珠海,85.0,-0.037175,-0.007775,0.037979
2021-05,珠海,95.0,-0.03615,-0.007825,0.036987
2021-05,珠海,105.0,-0.033925,-0.0079,0.034833
2021-05,珠海,115.0,-0.034767,-0.0018,0.034813
2021-05,珠海,125.0,-0.031733,-0.000667,0.03174
2021-05,珠海,135.0,-0.0281,0.000867,0.028113
2021-05,珠海,145.0,-0.023967,0.002633,0.024111
2021-05,珠海,155.0,-0.019533,0.0045,0.020045
2021-05,珠海,165.0,-0.0144,0.0062,0.015678
2021-05,珠海,175.0,-0.008067,0.0079,0.011291
2021-05,珠海,185.0,-0.002367,0.009067,0.00937
2021-05,珠海,195.0,0.00225,0.00925,0.00952
2021-05,珠海,205.0,0.0058,0.0096,0.011216
2021-05,珠海,215.0,0.0089,0.01,0.013387
2021-05,珠海,225.0,0.0115,0.0104,0.015505
2021-05,珠海,238.0,0.0143,0.0109,0.017981
2021-05,珠海,262.0,0.0173,0.0118,0.020941
2021-05,珠海,303.0,0.0217,0.0137,0.025663
2021-05,珠海,366.0,0.0227,0.0175,0.028663
2021-05,珠海,459.0,0.0221,0.0187,0.02895
2021-05,珠海,584.0,,,
2021-05,珠海,747.0,,,
2021-05,珠海,949.0,,,
2021-05,珠海,1193.0,,,
2021-05,珠海,1479.0,,,
2021-05,珠海,1807.0,,,
2021-05,珠海,2174.0,,,
2021-05,珠海,2579.0,,,
2021-05,珠海,3016.0,,,
2021-05,珠海,3483.0,,,
2021-05,珠海,3972.0,,,
2021-05,珠海,4478.0,,,
2021-06,珠海,5.0,0.0799,-0.002125,0.079928
2021-06,珠海,15.0,0.006675,-0.0223,0.023278
2021-06,珠海,25.0,-0.022525,0.000325,0.022527
2021-06,珠海,35.0,-0.035325,-0.001825,0.035372
2021-06,珠海,45.0,-0.04585,-0.004125,0.046035
2021-06,珠海,55.0,-0.053275,-0.006025,0.053615
2021-06,珠海,65.0,-0.056925,-0.007125,0.057369
2021-06,珠海,75.0,-0.058025,-0.007575,0.058517
2021-06,珠海,85.0,-0.057275,-0.0075,0.057764
2021-06,珠海,95.0,-0.054575,-0.0066,0.054973
2021-06,珠海,105.0,-0.05035,-0.00555,0.050655
2021-06,珠海,115.0,-0.0544,-0.000667,0.054404
2021-06,珠海,125.0,-0.049967,0.001033,0.049977
2021-06,珠海,135.0,-0.045167,0.0028,0.045253
2021-06,珠海,145.0,-0.0399,0.0047,0.040176
2021-06,珠海,155.0,-0.034033,0.006533,0.034655
2021-06,珠海,165.0,-0.0274,0.007967,0.028535
2021-06,珠海,175.0,-0.020133,0.0091,0.022094
2021-06,珠海,185.0,-0.013833,0.009567,0.016819
2021-06,珠海,195.0,-0.00955,0.00995,0.013791
2021-06,珠海,205.0,-0.0052,0.0097,0.011006
2021-06,珠海,215.0,-0.00135,0.0096,0.009694
2021-06,珠海,225.0,0.002,0.0096,0.009806
2021-06,珠海,238.0,0.0058,0.00965,0.011259
2021-06,珠海,262.0,0.0107,0.0095,0.014309
2021-06,珠海,303.0,0.022,0.0129,0.025503
2021-06,珠海,366.0,0.025,0.0176,0.030574
2021-06,珠海,459.0,0.0258,0.0184,0.031689
2021-06,珠海,584.0,,,
2021-06,珠海,747.0,,,
2021-06,珠海,949.0,,,
2021-06,珠海,1193.0,,,
2021-06,珠海,1479.0,,,
2021-06,珠海,1807.0,,,
2021-06,珠海,2174.0,,,
2021-06,珠海,2579.0,,,
2021-06,珠海,3016.0,,,
2021-06,珠海,3483.0,,,
2021-06,珠海,3972.0,,,
2021-06,珠海,4478.0,,,
2021-07,珠海,5.0,0.039325,0.029875,0.049386
2021-07,珠海,15.0,0.00905,0.0102,0.013636
2021-07,珠海,25.0,-0.01155,0.016775,0.020367
2021-07,珠海,35.0,-0.024975,0.012375,0.027873
2021-07,珠海,45.0,-0.03875,0.006825,0.039346
2021-07,珠海,55.0,-0.049875,0.0019,0.049911
2021-07,珠海,65.0,-0.056825,-0.001375,0.056842
2021-07,珠海,75.0,-0.060725,-0.00355,0.060829
2021-07,珠海,85.0,-0.0621,-0.004975,0.062299
2021-07,珠海,95.0,-0.06065,-0.005225,0.060875
2021-07,珠海,105.0,-0.05535,-0.006675,0.055751
2021-07,珠海,115.0,-0.051833,0.008533,0.052531
2021-07,珠海,125.0,-0.047167,0.0088,0.047981
2021-07,珠海,135.0,-0.041867,0.0092,0.042866
2021-07,珠海,145.0,-0.0365,0.009733,0.037775
2021-07,珠海,155.0,-0.031067,0.010167,0.032688
2021-07,珠海,165.0,-0.0252,0.0103,0.027224
2021-07,珠海,175.0,-0.018533,0.010433,0.021268
2021-07,珠海,185.0,-0.012233,0.009467,0.015468
2021-07,珠海,195.0,0.0021,0.0118,0.011985
2021-07,珠海,205.0,0.00675,0.011,0.012906
2021-07,珠海,215.0,0.0107,0.0104,0.014921
2021-07,珠海,225.0,0.014,0.01,0.017205
2021-07,珠海,238.0,0.01755,0.0097,0.020052
2021-07,珠海,262.0,0.02175,0.00925,0.023635
2021-07,珠海,303.0,0.0335,0.0208,0.039432
2021-07,珠海,366.0,0.0332,0.0242,0.041084
2021-07,珠海,459.0,0.031,0.0227,0.038423
2021-07,珠海,584.0,,,
2021-07,珠海,747.0,,,
2021-07,珠海,949.0,,,
2021-07,珠海,1193.0,,,
2021-07,珠海,1479.0,,,
2021-07,珠海,1807.0,,,
2021-07,珠海,2174.0,,,
2021-07,珠海,2579.0,,,
2021-07,珠海,3016.0,,,
2021-07,珠海,3483.0,,,
2021-07,珠海,3972.0,,,
2021-07,珠海,4478.0,,,
2021-08,珠海,5.0,0.060975,0.0269,0.066645
2021-08,珠海,15.0,0.025325,0.014925,0.029396
2021-08,珠海,25.0,0.001475,0.0235,0.023546
2021-08,珠海,35.0,-0.01145,0.027625,0.029904
2021-08,珠海,45.0,-0.024775,0.021325,0.032689
2021-08,珠海,55.0,-0.03605,0.015075,0.039075
2021-08,珠海,65.0,-0.0439,0.009875,0.044997
2021-08,珠海,75.0,-0.0492,0.005875,0.04955
2021-08,珠海,85.0,-0.051075,0.00315,0.051172
2021-08,珠海,95.0,-0.049775,0.001475,0.049797
