站点,深度_m,温度_degC
珠海,0.0,25.117963654654368
珠海,5.0,24.94214289528983
珠海,10.0,24.75170571463449
珠海,15.0,24.66390260060628
珠海,20.0,24.45064163208008
珠海,25.0,24.25186080932617
珠海,30.0,24.06663360595703
珠海,35.0,24.038497924804688
珠海,40.0,23.786147594451904
珠海,45.0,23.464157104492188
珠海,50.0,23.192960103352863
陵水,0.0,26.674430510577032
陵水,5.0,26.628732456880456
陵水,10.0,26.51459245120778
陵水,15.0,26.254899417652805
陵水,20.0,25.88044132905848
陵水,25.0,25.417887631584616
陵水,30.0,24.95790111317354
陵水,35.0,24.52338078816732
陵水,40.0,24.090017318725582
陵水,45.0,23.74336013793945
陵水,50.0,23.372882843017575
陵水,55.0,23.0055292569674
陵水,60.0,22.742816044734077
陵水,65.0,22.42763621990497
陵水,70.0,22.094963954045223
陵水,75.0,21.79665110661433
陵水,80.0,21.480758508046467
陵水,85.0,21.24146184054288
陵水,90.0,21.035021018981933
陵水,95.0,20.73440784878201
陵水,100.0,20.253606033325195
