站点,深度_m,盐度_PSU
珠海,0.0,33.39279474530901
珠海,5.0,33.556927817208425
珠海,10.0,33.70183508736746
珠海,15.0,33.85913689931234
珠海,20.0,33.97556718190511
珠海,25.0,34.02015762329101
珠海,30.0,34.08411827087402
珠海,35.0,34.158240509033206
珠海,40.0,34.1943941116333
珠海,45.0,34.228570302327476
珠海,50.0,34.25037384033203
陵水,0.0,33.796170851763556
陵水,5.0,33.85100398344152
陵水,10.0,33.86510355332319
陵水,15.0,33.885722889619714
陵水,20.0,33.91660286398495
陵水,25.0,33.93745130651138
陵水,30.0,33.961922365076404
陵水,35.0,33.99384689331055
陵水,40.0,34.023111724853514
陵水,45.0,34.05987040201823
陵水,50.0,34.08476311819894
陵水,55.0,34.10514978262094
陵水,60.0,34.15369620689979
陵水,65.0,34.18330940833459
陵水,70.0,34.202367342435394
陵水,75.0,34.238233713003304
陵水,80.0,34.28582445780436
陵水,85.0,34.320100957697086
陵水,90.0,34.34127235412598
陵水,95.0,34.361416286892364
陵水,100.0,34.40178298950195
