类别,材料,成分/描述,密度,密度单位,弹性模量_psi,屈服强度_ksi,抗拉强度_ksi,压缩强度_ksi,抗弯强度_ksi,弯曲模量_ksi,吸水率,含水率_pct,撕裂强度,耐磨性,泊松比,海水电位_V,腐蚀类型,海洋环境行为,孔隙率_vol%,折射率,用途,特别说明,来源页码,密度_min,密度_max,弹性模量_min_psi,弹性模量_max_psi,屈服强度_min_ksi,屈服强度_max_ksi,抗拉强度_min_ksi,抗拉强度_max_ksi,电位_min_V,电位_max_V
铝及铝合金,Aluminum alloy 5052,"97.25% Al, 2.5% Mg, 0.25% Cr",0.097,lb/in3,10 x 106,31 (H34),38 (H34),,,,,,,,,-0.92 to -1.1,Crevice and sometimes pitting attack.,,,,"Applications demanding good corrosion resistance and fatigue strength. These include fuel lines, tanks, and sheets.","Severe galvanic attack can occur when placed in contact with steel, stainless steel, copper alloys, nickel alloys, and titanium. Corrosion protection is desired for submerged applications.",1,0.097,0.097,10000000.0,10000000.0,31.0,34.0,34.0,38.0,-1.1,-0.92
铝及铝合金,Aluminum alloy 6061,"97.95% Al, 1.0% Mg, 0.6% Si, 0.25% Cu, 0.20% Cr",0.098,lb/in3,10 x 106,40 (T6),45 (T6),,,,,,,,,-0.72 to -1.07,Crevice and pitting attack. May also undergo intergranular attack and SCC.,,,,Applications demanding adequate corrosion resistance and good mechanical properties. The most versatile aluminum alloy for marine use.,"Severe galvanic attack can occur when placed in contact with steel, stainless steel, copper alloys, nickel alloys, and titanium. Cathodic protection and coating is desired for submerged applications.",1,0.098,0.098,10000000.0,10000000.0,6.0,40.0,6.0,45.0,-1.07,-0.72
铝及铝合金,Aluminum alloy 7075,"90% Al, 5.6% Zn, 2.5% Mg, 1.6% Cu, 0.3% Cr",0.101,lb/in3,10.4 x 106,73 (T6),83 (T6),,,,,,,,,-0.72 to -0.83,Severe crevice and pitting attack. Also susceptible to SCC and exfoliation.,,,,Applications requiring high strength and low weight.,"Severe galvanic attack can occur when placed in contact with steel, stainless steel, copper alloys, nickel alloys, and titanium. Must be anodized, coated, and cathodically protected for submerged applications.",1,0.101,0.101,10400000.0,10400000.0,6.0,73.0,6.0,83.0,-0.83,-0.72
铜及铜合金,Copper,99.9% Cu,0.322,lb/in3,17 x 106,50 (Fully hardened),55 (Fully hardened),,,,,,,,,-0.12 to -0.30,Uniform attack and sometimes localized attack as a result of metal ion concentration cells. Velocity effects can also be quite marked.,,,,Electrical and architectural applications. Resists biofouling at corrosion rates > 1 mpy.,None,2,0.322,0.322,17000000.0,17000000.0,50.0,50.0,55.0,55.0,-0.3,-0.12
铜及铜合金,"Beryllium-Copper, CDA 172","97.9% Cu, 1.9% Be, 0.2% Co",0.298,lb/in3,18 x 106,150 - 190 (HT and 75% Cold Worked),195 - 205 (HT and 75% Cold Worked),,,,,,,,,-0.10 to -0.25,Uniform corrosion and slight crevice attack.,,,,"Applications requiring good corrosion resistance and high strength. These include springs, bearings, and bushings.","As in most copper alloys, metal ion concentration cells may form.",2,0.298,0.298,18000000.0,18000000.0,75.0,190.0,75.0,205.0,-0.25,-0.1
铜及铜合金,"Red Brass, CDA 230","85% Cu, 15% Zn",0.316,lb/in3,17 x 106,49 (50% Work Hardened),57 - 72 (50% Work Hardened),,,,,,,,,-0.20 to -0.40,Uniform corrosion and slight dezincification.,,,,Applications requiring good corrosion resistance.,"As in most copper alloys, metal ion concentration cells may form.",2,0.316,0.316,17000000.0,17000000.0,49.0,50.0,50.0,72.0,-0.4,-0.2
铜及铜合金,Inhibited Admiralty Brass,"71% Cu, 28% Zn, 1% Sn, 0.6% As, Sb, or Pb",0.308,lb/in3,16 x 106,72 (Fully Hardened),88 - 97 (Fully Hardened),,,,,,,,,-0.16 to -0.25,Uniform corrosion and crevice attack. Erosion corrosion at velocities > 6 fps.,,,,Heat exchanger and condenser tubes and plates.,"As in most copper alloys, metal ion concentration cells may form.",2,0.308,0.308,16000000.0,16000000.0,72.0,72.0,88.0,97.0,-0.25,-0.16
铜及铜合金,Naval Brass,"60% Cu, 39% Zn, 1% Sn",0.304,lb/in3,15 x 106,66 (Hard-Drawn),88 (Hard-Drawn),,,,,,,,,-0.20 to -0.27,Uniform corrosion and dezincification (not completely eliminated with CP).,,,,"Condenser plates, prop shafts, fasteners.","Dezincification of this alloy may be severe, and, therefore, should be used with caution in submerged applications.",3,0.304,0.304,15000000.0,15000000.0,66.0,66.0,88.0,88.0,-0.27,-0.2
铜及铜合金,"Aluminum Bronze D, CDA 614","91% Cu, 7% Al, 2% Fe",0.281,lb/in3,18 x 106,40 - 55 (Hardened),75 - 85 (Hardened),,,,,,,,,-0.09 to -0.26,Uniform corrosion and some dezincification and crevice corrosion,,,,"Corrosion resistant tubing, tanks, fasteners, and sheathing.","As in most copper alloys, metal ion concentration cells may form.",3,0.281,0.281,18000000.0,18000000.0,40.0,55.0,75.0,85.0,-0.26,-0.09
铜及铜合金,"High Silicon Bronze A, CDA 655","94.8% Cu, 3.3% Si, 1.5% Mn, < 1.5% Fe and Zn",0.308,lb/in3,15 x 106,45 - 57 (Half-Hard),78 - 98 (Half-Hard),,,,,,,,,-0.17 to -0.23,Uniform corrosion and crevice corrosion.,,,,"Marine hardware, fasteners, shafting, and heat exchanger tubing.","As in most copper alloys, metal ion concentration cells may form.",3,0.308,0.308,15000000.0,15000000.0,45.0,57.0,78.0,98.0,-0.23,-0.17
铜及铜合金,90-10 Copper-Nickel,"88.7% Cu, 10% Ni, 1.3% Fe",0.323,lb/in3,18 x 106,57 (Light Drawn),60 (Light Drawn),,,,,,,,,-0.15 to -0.30,Uniform corrosion and some surface attack.,,,,Excellent resistance to marine fouling if allowed to freely corrode. Used for seawater tubing and boat hulls.,Susceptible to sulfide attack. Velocity effects at velocities > 10 fps.,3,0.323,0.323,18000000.0,18000000.0,57.0,57.0,60.0,60.0,-0.3,-0.15
铜及铜合金,70-30 Copper-Nickel,"68.9% Cu, 30% Ni, 0.5% Fe, 0.6% Mn",0.323,lb/in3,22 x 106,79 (Cold Drawn),85 (Cold Drawn),,,,,,,,,-0.17 to -0.23,Uniform corrosion and some surface attack.,,,,Good strength. Used in heat exchangers with high water velocities.,Susceptible to sulfide attack. Velocity effects at velocities > 15 fps.,4,0.323,0.323,22000000.0,22000000.0,79.0,79.0,85.0,85.0,-0.23,-0.17
铜及铜合金,Cast Silicon Brass and Bronze,"82 - 91% Cu, 5 - 14% Zn, 4% Si",0.302,lb/in3,15 x 106 - 18 x 106,22 - 35 (As Cast),55 - 70 (As Cast),,,,,,,,,~ -0.27,Uniform corrosion.,,,,"Bearings, impellers, gears, props, pumps, fittings.",None,4,0.302,0.302,15000000.0,18000000.0,22.0,35.0,55.0,70.0,-0.27,-0.27
铜及铜合金,Cast Aluminum Bronze,"81 - 88% Cu, 9 - 13% Al, 1 - 5% Fe, others",0.272 - 0.281,lb/in3,14 x 106 - 20 x 106,40 - 80 (Heat Treated),80 - 124 (Heat Treated),,,,,,,,,-0.3 to -0.4,Uniform corrosion and dealloying.,,,,"Pump housings, bearings, impellers, gears, props, fittings.",None,4,0.272,0.281,14000000.0,20000000.0,40.0,80.0,80.0,124.0,-0.4,-0.3
镍及镍合金,Monel 400,"66.25% Ni, 31.5% Cu, 1.35% Fe, 0.9% Mn",0.319,lb/in3,26 x 106,90 - 130 (Fully Hardened),100 - 140 (Fully Hardened),,,,,,,,,-0.04 to -0.14,"Uniform corrosion, pitting, and crevice attack.",,,,"Valves, pumps, prop shafts, fixtures, fasteners.",Resists erosion corrosion to high velocities. May cause severe galvanic attack of less noble metals when coupled.,5,0.319,0.319,26000000.0,26000000.0,90.0,130.0,100.0,140.0,-0.14,-0.04
镍及镍合金,Inconel 625,"65.3% Ni, 18.6% Cr, 9% Mo, 4% Cb, 3% Fe, 0.05% C",0.305,lb/in3,29.8 x 106,201 (70% Cold Worked),219 (70% Cold Worked),,,,,,,,,-0.04 to +0.10,Highly resistant to most forms of attack.,,,,"Wire rope, propeller blades, fittings, springs, fasteners. Parts where little to no corrosion can be accepted.",Resists erosion corrosion to high velocities.,5,0.305,0.305,29800000.0,29800000.0,70.0,201.0,70.0,219.0,-0.04,0.1
镍及镍合金,Incoloy 825,"41.8% Ni, 21.5% Cr, 30% Fe, 3% Mo, 1.8% Cu, 1% Ti, 0.03% C",0.294,lb/in3,28 x 106,35 - 45 (Cold Drawn),85 - 101 (Cold Drawn),,,,,,,,,-0.03 to +0.05,Crevice corrosion and pitting.,,,,Components in desalination plants and heat exchangers.,Resistant to chloride SCC.,5,0.294,0.294,28000000.0,28000000.0,35.0,45.0,85.0,101.0,-0.03,0.05
铁和钢,Ductile Cast Iron,"3.3 - 4.0% C, 2 - 3% Si, 0.2 - 0.6% Mn, < 2.5% Ni, > 0.15% total P and Mg, remainder Fe",0.257,lb/in3,23 x 106 - 25 x 106,40 - 150,60 - 175,,,,,,,,,-0.60 to -0.72,Mostly uniform with some shallow pitting.,,,,"General machinery parts, props, piping.",Cathodic protection is needed for longer term submerged exposure.,6,0.257,0.257,23000000.0,25000000.0,40.0,150.0,60.0,175.0,-0.72,-0.6
铁和钢,AISI 1040 Steel,"99.6% Fe, 0.4% C",0.283,lb/in3,30 x 106,86 (Heat Treated),113 (Heat Treated),,,,,,,,,-0.60 to -0.70,Mostly uniform with slight crevice corrosion.,,,,Multiple structural and mechanical uses.,"Coatings and/or cathodic protection is needed for marine use. Galvanic attack may occur if this alloy is immersed in seawater and in contact with copper alloys, nickel alloys, stainless steels, or titanium alloys.",6,0.283,0.283,30000000.0,30000000.0,86.0,86.0,113.0,113.0,-0.7,-0.6
铁和钢,AISI 1080 Steel,"99.2% Fe, 0.8% C",0.283,lb/in3,30 x 106,142 (Heat Treated),190 (Heat Treated),,,,,,,,,-0.60 to -0.70,Mostly uniform with slight crevice corrosion. Also susceptible to SCC and hydrogen embrittlement.,,,,Multiple structural and mechanical uses.,"Coatings and/or cathodic protection is needed for marine use. Galvanic attack may occur if this alloy is immersed in seawater and in contact with copper alloys, nickel alloys, stainless steels, or titanium alloys.",6,0.283,0.283,30000000.0,30000000.0,142.0,142.0,190.0,190.0,-0.7,-0.6
