material,temperature_C,temperature_min_C,temperature_max_C,thermal_conductivity_W_per_mK,thermal_conductivity_min_W_per_mK,thermal_conductivity_max_W_per_mK,数据质量
Aluminum,-73.0,-73.0,-73.0,237.0,237.0,237.0,完整点值
Aluminum,0.0,0.0,0.0,236.0,236.0,236.0,完整点值
Aluminum,127.0,127.0,127.0,240.0,240.0,240.0,完整点值
Aluminum,327.0,327.0,327.0,232.0,232.0,232.0,完整点值
Aluminum,527.0,527.0,527.0,220.0,220.0,220.0,完整点值
"Aluminum - Duralumin (94-96% Al, 3-5% Cu, trace Mg)",20.0,20.0,20.0,164.0,164.0,164.0,完整点值
"Aluminum - Silumin (87% Al, 13% Si)",20.0,20.0,20.0,164.0,164.0,164.0,完整点值
Aluminum bronze,12.5,0.0,25.0,70.0,70.0,70.0,温度取范围中点
"Aluminum alloy 3003, rolled",12.5,0.0,25.0,190.0,190.0,190.0,温度取范围中点
Aluminum alloy 2014. annealed,12.5,0.0,25.0,190.0,190.0,190.0,温度取范围中点
Aluminum alloy 360,12.5,0.0,25.0,150.0,150.0,150.0,温度取范围中点
Antimony,-73.0,-73.0,-73.0,30.2,30.2,30.2,完整点值
Antimony,0.0,0.0,0.0,25.5,25.5,25.5,完整点值
Antimony,127.0,127.0,127.0,21.2,21.2,21.2,完整点值
Antimony,327.0,327.0,327.0,18.2,18.2,18.2,完整点值
Antimony,527.0,527.0,527.0,16.8,16.8,16.8,完整点值
Beryllium,-73.0,-73.0,-73.0,301.0,301.0,301.0,完整点值
Beryllium,0.0,0.0,0.0,218.0,218.0,218.0,完整点值
Beryllium,127.0,127.0,127.0,161.0,161.0,161.0,完整点值
Beryllium,327.0,327.0,327.0,126.0,126.0,126.0,完整点值
Beryllium,527.0,527.0,527.0,107.0,107.0,107.0,完整点值
Beryllium,727.0,727.0,727.0,89.0,89.0,89.0,完整点值
Beryllium,927.0,927.0,927.0,73.0,73.0,73.0,完整点值
Beryllium copper 25,12.5,0.0,25.0,80.0,80.0,80.0,温度取范围中点
Bismuth,-73.0,-73.0,-73.0,9.7,9.7,9.7,完整点值
Bismuth,0.0,0.0,0.0,8.2,8.2,8.2,完整点值
Boron,-73.0,-73.0,-73.0,52.5,52.5,52.5,完整点值
Boron,0.0,0.0,0.0,31.7,31.7,31.7,完整点值
Boron,127.0,127.0,127.0,18.7,18.7,18.7,完整点值
Boron,327.0,327.0,327.0,11.3,11.3,11.3,完整点值
Boron,527.0,527.0,527.0,8.1,8.1,8.1,完整点值
Boron,727.0,727.0,727.0,6.3,6.3,6.3,完整点值
Boron,927.0,927.0,927.0,5.2,5.2,5.2,完整点值
Cadmium,-73.0,-73.0,-73.0,99.3,99.3,99.3,完整点值
Cadmium,0.0,0.0,0.0,97.5,97.5,97.5,完整点值
Cadmium,127.0,127.0,127.0,94.7,94.7,94.7,完整点值
Cesium,-73.0,-73.0,-73.0,36.8,36.8,36.8,完整点值
Cesium,0.0,0.0,0.0,36.1,36.1,36.1,完整点值
Chromium,-73.0,-73.0,-73.0,111.0,111.0,111.0,完整点值
Chromium,0.0,0.0,0.0,94.8,94.8,94.8,完整点值
