材料,比热容_kJ_kgK,比热容_J_kgK
Aluminum,0.91,910.0
Antimony,0.21,210.0
Barium,0.2,200.0
Beryllium,1.83,1830.0
Bismuth,0.13,130.0
Cadmium,0.23,230.0
Calcium,0.63,630.0
Carbon Steel,0.49,490.0
Cast Iron,0.46,460.0
Cesium,0.24,240.0
Chromium,0.46,460.0
Cobalt,0.42,420.0
Copper,0.39,390.0
Gallium,0.37,370.0
Germanium,0.32,320.0
Gold,0.13,130.0
Hafnium,0.14,140.0
Indium,0.24,240.0
Iridium,0.13,130.0
Iron,0.45,450.0
Lanthanum,0.195,195.0
Lead,0.13,130.0
Lithium,3.57,3570.0
Lutetium,0.15,150.0
Magnesium,1.05,1050.0
Manganese,0.48,480.0
Mercury,0.14,140.0
Molybdenum,0.25,250.0
Nickel,0.44,440.0
Niobium (Columbium),0.27,270.0
Osmium,0.13,130.0
Palladium,0.24,240.0
Platinum,0.13,130.0
Plutonium,0.13,130.0
Potassium,0.75,750.0
Rhenium,0.14,140.0
Rhodium,0.24,240.0
Rubidium,0.36,360.0
Ruthenium,0.24,240.0
Scandium,0.57,570.0
Selenium,0.32,320.0
Silicon,0.71,710.0
Silver,0.23,230.0
Sodium,1.21,1210.0
Strontium,0.3,300.0
Tantalum,0.14,140.0
Thallium,0.13,130.0
Thorium,0.13,130.0
Tin,0.21,210.0
Titanium,0.54,540.0
Tungsten,0.13,130.0
Uranium,0.12,120.0
Vanadium,0.39,390.0
Yttrium,0.3,300.0
Zinc,0.39,390.0
Zirconium,0.27,270.0
Wrought Iron,0.5,500.0
