合约代码,合约名称,最新价_元_吨,涨跌_元_吨,涨跌幅,成交量,持仓量,持仓变化
CUMAIN,沪铜主力,107790,-380,-0.35%,40897,211948,-3117
ALMAIN,沪铝主力,24140,-205,-0.84%,63329,236724,-4615
PBMAIN,沪铅主力,15960,+85,+0.54%,30376,43560,-1612
ZNMAIN,沪锌主力,25690,+10,+0.04%,59128,110467,-3235
SNMAIN,沪锡主力,426900,-1870,-0.44%,99511,47943,-689
NIMAIN,沪镍主力,128620,+90,+0.07%,88553,138376,-1664
AUMAIN,沪金主力,963.72,+8.28,+0.87%,192366,204099,3725
AGMAIN,沪银主力,16104,+181,+1.14%,492089,326808,2555
SCMAIN,原油主力,- -,- -,- -,- -,- -,- -
RBMAIN,螺纹主力,3006,-5,-0.17%,219096,2164751,-1626
HCMAIN,热卷主力,3239,-5,-0.15%,89378,1429749,-2069
