数据表,材料名称,材料牌号,试验周期_月,试验地点,试验区域,腐蚀介质,腐蚀类型,腐蚀速率_mm_a,数据来源,原始文件
不锈钢海水环境腐蚀基础数据,2Cr13,,12,厦门,飞溅区,,缝隙腐蚀,0.0045,,不锈钢海水_13.html
不锈钢海水环境腐蚀基础数据,2Cr13,,24,厦门,飞溅区,,"点蚀,缝隙腐蚀",0.0043,,不锈钢海水_14.html
不锈钢海水环境腐蚀基础数据,2Cr13,,48,厦门,飞溅区,,点蚀,0.0077,,不锈钢海水_15.html
不锈钢海水环境腐蚀基础数据,2Cr13,,96,厦门,飞溅区,,点蚀,0.0065,,不锈钢海水_16.html
不锈钢海水环境腐蚀基础数据,2Cr13,,12,榆林,潮差区,,"溃疡腐蚀,缝隙腐蚀 局部腐蚀最大深度：穿孔 最大缝隙腐蚀深度：穿孔(1,6)",0.016,,不锈钢海水_17.html
不锈钢海水环境腐蚀基础数据,2Cr13,,24,榆林,潮差区,,"点蚀,缝隙腐蚀 局部腐蚀最大深度：穿孔 最大缝隙腐蚀深度：穿孔",0.011,,不锈钢海水_18.html
不锈钢海水环境腐蚀基础数据,2Cr13,,48,榆林,潮差区,,"溃疡腐蚀,缝隙腐蚀 局部腐蚀最大深度：穿孔 最大缝隙腐蚀深度：穿孔",0.0069,,不锈钢海水_19.html
黑色金属水环境腐蚀数据,16Mn,,36,格尔木,深海1200m,,点蚀、坑蚀,,2006数据,水环境_16Mn_1400.html
黑色金属水环境腐蚀数据,2205,,36,格尔木,深海800m,,,,2006数据,水环境_2205_1410.html
黑色金属水环境腐蚀数据,Q345,,36,格尔木,深海800m,,点蚀,,2006数据,水环境_Q345_1402.html
有色金属水环境腐蚀数据,QBe2,,96,格尔木,全浸,,全面腐蚀，均匀腐蚀，红色,,十三五数据,水环境_QBe2_1921.html
紫铜在海水中的腐蚀数据,紫铜,T2,,,,见 图,"李文军, 刘大杨, and 魏开金, 铜合金在热带海水中16年的耐蚀性及抗污性. 材料开发与应用, 2002. 4(2): p. 65-69.",,中科院金属研究所,紫铜T2_32.html
