参数,扰动,参数值,单位,N_theory,N,N_theory变化率%,物理含义
服务器功率 q0,+5%,525.0,W,21.984260661973266,21,-4.761904761904765,单台产热反比影响 N_theory
服务器功率 q0,-5%,475.0,W,24.29839336323361,24,5.263157894736843,单台产热反比影响 N_theory
服务器功率 q0,+10%,550.0,W,20.98497608642903,20,-9.090909090909086,单台产热反比影响 N_theory
服务器功率 q0,-10%,450.0,W,25.64830410563548,25,11.111111111111112,单台产热反比影响 N_theory
海水温度 T_inf,+5%,21.0,℃,22.560326629265997,22,-2.2663272985539398,温差增大则散热能力增强
海水温度 T_inf,-5%,19.0,℃,23.610133944531395,23,2.2815467741837336,温差增大则散热能力增强
海水温度 T_inf,+10%,22.0,℃,22.040715893613747,22,-4.517334848440947,温差增大则散热能力增强
海水温度 T_inf,-10%,18.0,℃,24.14028497496644,24,4.578215973274978,温差增大则散热能力增强
"限温 T_server,max",+5%,84.0,℃,25.039198881055228,25,8.472404161600789,允许温度越高，可用温差越大
"限温 T_server,max",-5%,76.0,℃,21.156495101916235,21,-8.347870942695614,允许温度越高，可用温差越大
"限温 T_server,max",+10%,88.0,℃,27.02155793315288,27,17.06018899106025,允许温度越高，可用温差越大
"限温 T_server,max",-10%,72.0,℃,19.260631318190143,19,-16.56094930676713,允许温度越高，可用温差越大
壁面导热系数 k_wall,+5%,15.120000000000001,W/(m·K),23.08347369507193,23,0.0,壁面热阻反向影响散热
壁面导热系数 k_wall,-5%,13.68,W/(m·K),23.08347369507193,23,0.0,壁面热阻反向影响散热
壁面导热系数 k_wall,+10%,15.840000000000002,W/(m·K),23.08347369507193,23,0.0,壁面热阻反向影响散热
壁面导热系数 k_wall,-10%,12.96,W/(m·K),23.08347369507193,23,0.0,壁面热阻反向影响散热
舱内空气 h_air,+5%,1.05x,倍,24.21209334175535,24,4.889297259122514,空气侧热阻反向影响散热
舱内空气 h_air,-5%,0.95x,倍,21.95246918554757,21,-4.899628732073443,空气侧热阻反向影响散热
舱内空气 h_air,+10%,1.10x,倍,25.338335660820587,25,9.768295688659911,空气侧热阻反向影响散热
舱内空气 h_air,-10%,0.90x,倍,20.8190722460808,20,-9.809621718565499,空气侧热阻反向影响散热
海水换热系数 h_sea,+5%,1.05x,倍,23.106699769872886,23,0.10061776276728385,海水侧热阻反向影响散热
海水换热系数 h_sea,-5%,0.95x,倍,23.05785703326457,23,-0.11097403339615643,海水侧热阻反向影响散热
海水换热系数 h_sea,+10%,1.10x,倍,23.12785497919664,23,0.19226432170035912,海水侧热阻反向影响散热
海水换热系数 h_sea,-10%,0.90x,倍,23.02946067617376,23,-0.23398999479745777,海水侧热阻反向影响散热
壁厚 w,5 mm,0.005,m,18.554990908298894,18,-19.617856682202117,壁厚增大->内部空间和换热面积减小
壁厚 w,10 mm,0.01,m,15.522960103157718,15,-32.75292831480688,壁厚增大->内部空间和换热面积减小
壁厚 w,20 mm,0.02,m,11.645361658848891,11,-49.55108657959461,壁厚增大->内部空间和换热面积减小
壁厚 w,50 mm,0.05,m,6.3489913765022425,6,-72.49551146256779,壁厚增大->内部空间和换热面积减小
