材料,深度_m,t_req_m,壁厚_m,Q_W,成本_元,寿命_年,N_台,可行,g1_承压_m,g2_寿命_年,g3_散热_台,g4_空间_m
6061 铝合金,5.0,0.00022787354879870097,0.004,6092557.695071572,34143.78862433361,25.147509674675327,1026,True,0.003772126451201299,15.147509674675327,12184.115390143144,0.9319999999999999
6061 铝合金,50.0,0.00227873548798701,0.004,6523033.25927339,34143.78862433361,11.47509674675327,1026,True,0.0017212645120129903,1.4750967467532696,13045.06651854678,0.9319999999999999
6061 铝合金,100.0,0.00455747097597402,0.006836206463961029,6945888.265449111,42416.3044058824,15.191569919913398,1014,True,0.00227873548798701,5.191569919913398,13890.776530898223,0.9263275870720779
304 不锈钢,5.0,0.0001215325593593072,0.004,4387900.609609181,48441.17750271392,50.0,1026,True,0.003878467440640693,40.0,8774.801219218361,0.9319999999999999
304 不锈钢,50.0,0.001215325593593072,0.004,4690907.053495555,48441.17750271392,50.0,1026,True,0.002784674406406928,40.0,9380.81410699111,0.9319999999999999
304 不锈钢,100.0,0.002430651187186144,0.004,4988505.909165973,48441.17750271392,50.0,1026,True,0.001569348812813856,40.0,9976.011818331946,0.9319999999999999
316L 不锈钢,5.0,0.00030383139839826806,0.004,4387900.609609181,61669.84633731375,50.0,1026,True,0.003696168601601732,40.0,8774.801219218361,0.9319999999999999
316L 不锈钢,50.0,0.0030383139839826804,0.0045574709759740204,4690907.053495555,66494.0127223848,50.0,1024,True,0.00151915699199134,40.0,9380.81410699111,0.9308850580480519
316L 不锈钢,100.0,0.006076627967965361,0.009114941951948041,4988505.909165973,105703.20996664681,50.0,1004,True,0.00303831398398268,40.0,9976.011818331946,0.9217701160961038
TC4 钛合金,5.0,5.8806077109342185e-05,0.004,3827036.887971205,353743.2143997593,50.0,1026,True,0.003941193922890658,40.0,7653.07377594241,0.9319999999999999
TC4 钛合金,50.0,0.0005880607710934219,0.004,4091376.265937257,353743.2143997593,50.0,1026,True,0.0034119392289065783,40.0,8181.752531874514,0.9319999999999999
TC4 钛合金,100.0,0.0011761215421868438,0.004,4351015.01053784,353743.2143997593,50.0,1026,True,0.0028238784578131565,40.0,8701.030021075681,0.9319999999999999
AISI 1040 碳钢,5.0,0.00010598769711567486,0.004,5517594.593321529,29683.837417239953,12.980041009614418,1026,True,0.0038940123028843253,2.9800410096144176,11034.189186643058,0.9319999999999999
AISI 1040 碳钢,50.0,0.0010598769711567487,0.004,5903264.8242678465,29683.837417239953,9.800410096144171,1026,False,0.0029401230288432514,-0.19958990385582887,11805.529648535694,0.9319999999999999
AISI 1040 碳钢,100.0,0.0021197539423134975,0.004,6282058.368380295,29683.837417239953,6.267486858955008,1026,False,0.0018802460576865026,-3.7325131410449917,12563.11673676059,0.9319999999999999
T2 紫铜,5.0,0.00018229883903896077,0.004,6299710.662021312,162781.1890159596,47.721264512012986,1026,True,0.0038177011609610394,37.721264512012986,12598.421324042623,0.9319999999999999
T2 紫铜,50.0,0.0018229883903896078,0.004,6746799.698757493,162781.1890159596,27.212645120129903,1026,True,0.002177011609610392,17.212645120129903,13492.599397514987,0.9319999999999999
T2 紫铜,100.0,0.0036459767807792156,0.005468965171168823,7186005.113846939,206362.92762326775,22.787354879870094,1020,True,0.0018229883903896076,12.787354879870094,14371.010227693878,0.9290620696576622
