扰动项,扰动,权重,Spearman,排名变化数
散热 Q,+5%,0.43/0.29/0.29,0.9935254618798922,55
散热 Q,-5%,0.37/0.32/0.32,0.9895041667193566,53
散热 Q,+10%,0.45/0.27/0.27,0.9797670683746632,65
散热 Q,-10%,0.33/0.33/0.33,0.9612286447729484,68
成本,+5%,0.38/0.33/0.29,0.9499740765563549,64
成本,-5%,0.42/0.26/0.32,0.984395351483959,60
成本,+10%,0.36/0.36/0.27,0.8121625210232805,67
成本,-10%,0.44/0.22/0.33,0.9595341367493266,62
寿命,+5%,0.38/0.29/0.33,0.994537108461159,43
寿命,-5%,0.42/0.32/0.26,0.9735960242289355,60
寿命,+10%,0.36/0.27/0.36,0.9846229719647441,54
寿命,-10%,0.44/0.33/0.22,0.8986583037215948,70
