检验点,指标,基准值,扰动后值,期望,通过
材料价格 +10%,成本_元,45795.31022033436,48365.438242367796,成本上升,通过
腐蚀速率 +10%,寿命_年,38.14176341341994,34.674330375836306,寿命下降,通过
导热系数 +10%,Q_W,6523033.25927339,6556094.146941375,Q上升,通过
屈服强度 -10%,t_req_m,0.00227873548798701,0.0025319283199855664,t_req上升,通过
屈服强度 -10%,寿命_年,38.14176341341994,36.453811200096226,寿命下降,通过
深度 50->60 m,Q_W,6523033.25927339,6612291.040242519,Q上升,通过
深度 50->60 m,t_req_m,0.00227873548798701,0.0027344825855844116,t_req上升,通过
壁厚 +10%,成本_元,45795.31022033436,48112.8378751627,成本上升,通过
壁厚 +10%,N_space_台,1009.4883883401851,1006.0401824312249,空间上限下降,通过
目标向量映射,obj,"[-6523033.25927339, 45795.31022033436, -38.14176341341994]",—,"等于[-Q,cost,-life]",通过
