指标,数值,单位,来源文件
问题1_最大服务器数_台,15,台,问题一/outputs/Q1_结果.csv
问题1_最大散热量_W,7761.480051578859,W,问题一/outputs/Q1_结果.csv
问题2_最优结构_台,19,台,问题二/outputs/问题2_结果.csv
问题2_有效散热面积_m2,125.389,m^2,问题二/outputs/问题2_结果.csv
问题3_推荐材料,6061 铝合金,-,问题三/输出/结果_TOPSIS排名.csv
问题3_水深_m,100.0,m,问题三/输出/结果_TOPSIS排名.csv
问题3_壁厚_m,0.0120601085296335,m,问题三/输出/结果_TOPSIS排名.csv
问题3_服务器数_台,992,台,问题三/输出/结果_TOPSIS排名.csv
问题3_成本_元,57513.08752640447,元,问题三/输出/结果_TOPSIS排名.csv
问题3_寿命_年,50.0,年,问题三/输出/结果_TOPSIS排名.csv
问题4_动态最大N_台,13,台,问题四/输出/结果_基准算例.csv
问题4_最不利壳温_C,78.51474426496202,℃,问题四/输出/结果_最不利工况.csv
问题4_最不利时刻,2026-08-07 22:00:00,-,问题四/输出/结果_最不利工况.csv
问题4_最不利海温_C,28.67437592997496,℃,问题四/输出/结果_最不利工况.csv
问题4_最不利流速_m_s,0.0425144736842105,m/s,问题四/输出/结果_最不利工况.csv
