材料,depth_m,wall_m,N,Q_mean_W,Q_cap_mean_W,cost_元,life_年,T_max_degC,t_req_m,viol
304 不锈钢,49.902473864786074,0.004,17,8499.490413442127,790603.444397247,24719.38110253373,50.0,79.57014840844158,0.0009204219010840078,0.0
6061 铝合金,50.51139761176843,0.004,20,10003.671846268016,801113.6416467836,15222.692513969596,11.489601023474963,79.97010824125194,0.0022765598464787556,0.0
6061 铝合金,85.53479814720772,0.021345515110520175,19,9499.276770157832,789651.0873468982,54722.37420653792,50.0,79.93216677728022,0.0038087893260593778,0.0
6061 铝合金,54.264859043891605,0.006698238719940965,19,9499.593000152976,797348.4001494284,21470.45646104143,28.383131218551476,78.34090040602852,0.0024407690371582432,0.0
6061 铝合金,81.39119079756158,0.02115694986678105,18,8999.278203807886,787680.0922011376,54301.403528810384,50.0,77.90341442786902,0.003627511744903019,0.0
6061 铝合金,42.53433022096061,0.012338235050483183,18,8999.182466001905,794438.985049326,34406.821188784525,50.0,78.2959495839677,0.0019275732366711448,0.0
6061 铝合金,38.74788910507298,0.011126252201946327,18,8999.17306810899,794173.3835304577,31640.94210666637,50.0,78.24979482189669,0.0017619212265361328,0.0
6061 铝合金,78.54309486999811,0.02064793021412727,18,8999.27471815115,788801.5327753157,53164.096864867744,50.0,77.95114120193337,0.003502911150038723,0.0
6061 铝合金,54.607920706396875,0.004978701193979607,20,10000.566370586668,800733.4109530686,17493.279664146496,16.819490953029305,79.93485307710111,0.0024557775510252113,0.0
6061 铝合金,49.99142727397365,0.004,19,9503.296552539205,797722.8483723608,15222.692513969596,11.641254654646593,77.99967847299695,0.0022538118018030112,0.0
6061 铝合金,82.04963217759827,0.021169985605358564,18,8999.278812031062,787417.8759454065,54330.51168148309,50.0,77.86684759046757,0.0036563177225535076,0.0
6061 铝合金,52.39967718475564,0.004151547250262391,20,10002.65228895514,800925.5286245767,15574.610598825628,11.949183737061018,79.87898405883126,0.0023591696897032385,0.0
6061 铝合金,55.68122060904347,0.0061247921495722,19,9499.760953640209,797250.1341501377,20145.833064387407,24.14706056800621,78.11515624882404,0.0025027330643712683,0.0
6061 铝合金,52.71788028898212,0.0047010766578089915,20,10000.97594564269,800892.2205947835,16849.700508968177,15.519906564833605,79.99202447018853,0.002373090673083951,0.0
AISI 1040 碳钢,55.40422094513109,0.0072123465716898896,18,8999.257716157277,793796.3313742401,17334.334331932223,20.735029558353997,78.44262606725516,0.0009918377041836903,0.0
