月份,海温_Tinf_degC,温差_dT_degC,密度_kg_m3,比热容_J_kgK,导热系数_W_mK,运动粘度_m2_s,Pr,热膨胀系数_1_K,月均背景流速_m_s,h_sea_W_m2K,h_total_W_m2K,散热能力_Q_W,可放服务器数_N,空间上限_N_space
1,19.8730583190918,60.1269416809082,1024.9586888198853,3998.851762161255,0.6014121263122559,1.0535289787292478e-06,7.182655214157103,0.00024087351249007624,0.068566,271.224782360191,3.4856570498799373,8230.261894723475,16,802
2,20.631332533700125,59.368667466299875,1024.759540215901,3999.139906362806,0.6024964921978542,1.0357318847383772e-06,7.048130523291997,0.0002472153793412555,0.018714000000000005,219.28094256437882,3.4633802817830914,8074.5321298235785,16,802
3,22.00536346435547,57.99463653564453,1024.388551864624,3999.6620381164553,0.6044476161193848,1.0046787857055663e-06,6.813363598480224,0.0002585795405922539,0.017849,221.17599045525665,3.4465709219186014,7849.372442817376,15,802
4,23.203454562595912,56.79654543740409,1024.0650672680993,4000.1173127337865,0.6061489054788862,9.776019268853324e-07,6.608657753434863,0.000268488560927987,0.03139750000000001,233.25895698158456,3.434475251408906,7660.236853186182,15,802
5,26.2556472505842,53.744352749415796,1023.1907493523189,4001.2520330102107,0.6104076802607945,9.131427022389002e-07,6.124754189447675,0.00029328476533255465,0.021320499999999996,230.03340576848413,3.3928734673084042,7160.78090784893,14,802
6,27.959390912737167,52.04060908726284,1022.6625888170515,4001.8653807285855,0.6127247716413226,8.807715726579938e-07,5.884662632577078,0.0003067686964304398,0.0289495,238.33755561442686,3.371340960270257,6889.773324225299,13,802
7,29.210916110447474,50.78908388955253,1022.2746160057612,4002.315929799761,0.6144268459102086,8.56992593901498e-07,5.708297701715742,0.0003166736368907129,0.024119999999999996,236.01341009420537,3.3529662119787726,6687.432970613817,13,802
8,29.06304999760219,50.93695000239781,1022.3204545007433,4002.262697999137,0.614225747996739,8.598020500455584e-07,5.729134994337899,0.00031550338075323836,0.026725000000000002,237.9175055769363,3.3555541742398973,6712.079274884094,13,802
9,29.157497269766672,50.84250273023333,1022.2911758463723,4002.2966990171158,0.6143541962868827,8.580075518744332e-07,5.715825484744481,0.00031625086439091173,0.09136999999999998,329.1180371496133,3.370236891405959,6728.948965706296,13,802
10,26.54509489876884,53.45490510123116,1023.1010205813817,4001.356234163557,0.6108013290623256,9.07643196923392e-07,6.083965226865495,0.000295575539602925,0.195408,510.66710940560637,3.422647939448666,7184.71718674935,14,802
11,24.602759088788712,55.397240911211284,1023.6872550460271,4000.64904845374,0.60813591790608,9.459776445933751e-07,6.369572582089561,0.00028006175183666786,0.15529199999999999,430.2246392301053,3.4441317211098172,7492.5176284856625,14,802
12,22.90800053732736,57.09199946267264,1024.1448398549217,4000.0050402041848,0.6057293607630049,9.842791878564016e-07,6.659139028192247,0.00026604495714112976,0.09359400000000001,317.23011231812893,3.454707959023449,7745.446870379891,15,802
20C基准,20.0,60.0,1024.93,3998.9,0.6016,1.05e-06,7.156,0.00024199383406457996,0.0,211.57897759005732,3.468818309168416,8173.210587540948,16,802
