流速_m_s,Re,Gr,Gr_Re2,流态,h_nat_W_m2K,h_forced_W_m2K,h_mixed_W_m2K,h_mixed_h_nat,h_mixed_h_forced
0.0,0.0,42276339825.203865,inf,自然对流主导,216.0546742206494,0.0,216.05467422064933,0.9999999999999998,0.0
0.001,1166.6741657600114,42276339825.203865,1987,自然对流主导,203.11056388137206,22.574902694201416,203.20348035566707,1.000457467462644,9.001300386905404
0.002,2333.348331520023,42276339825.203865,410.5,自然对流主导,191.49706009430918,32.2532554000899,191.80155834656873,1.0015900936134978,5.946734863422008
0.005,5833.370828800057,42276339825.203865,45.06,自然对流主导,150.95573014093915,52.285058098288395,153.01822140861304,1.0136628882239067,2.926614734193482
0.01,11666.741657600114,42276339825.203865,7.976,混合对流,108.15345873050013,76.30042435786437,119.56536797132337,1.1055158972701904,1.567034115177888
0.02,23333.48331520023,42276339825.203865,1.367,混合对流,75.38991255846713,113.08443397540039,123.3023357730462,1.6355283033047896,1.0903563951150743
0.05,58333.70828800058,42276339825.203865,0.127,混合对流,45.40460798630361,196.63685488441993,197.44051964129355,4.348468765567844,1.0040870505040675
0.1,116667.41657600115,42276339825.203865,0.02031,强制对流主导,30.39234690116797,308.78079560279184,308.8789100374278,10.163048975515531,1.0003177478523053
0.2,233334.8331520023,42276339825.203865,0.003134,强制对流主导,20.188063362392295,501.6870191360298,501.6979156495453,24.851215623988107,1.0000217197437842
0.3,350002.2497280034,42276339825.203865,0.001032,强制对流主导,15.923567003068476,677.8880344233046,677.8909631713489,42.571552155413364,1.0000043204008562
0.5,583337.0828800057,42276339825.203865,0.00025,强制对流主导,11.930795297291828,1008.7030670585672,1008.7036234238291,84.54621827706613,1.000000551564955
