扰动项,参数,T_max_degC,T_max变化_K,方向
基准,-,78.51474426496202,0.0,基准
季节振幅 +10%,season,78.96583059958563,0.4510863346236107,符合物理直觉
季节振幅 -10%,season,78.06365879042231,-0.4510854745397097,符合物理直觉
潮汐流速幅值 0 m/s,u_amp,78.66215375894073,0.1474094939787136,符合物理直觉
潮汐流速幅值 0.30 m/s,u_amp,78.43313815189155,-0.08160611307046395,符合物理直觉
壳体质量 +50%,mass,78.48929584360027,-0.025448421361744522,符合物理直觉
壳体质量 -50%,mass,78.55833574463429,0.043591479672272726,符合物理直觉
比热容 +50%,cp,78.48929584360027,-0.025448421361744522,符合物理直觉
比热容 -50%,cp,78.55833574463429,0.043591479672272726,符合物理直觉
有效散热面积 +10%,area,78.44730385238515,-0.06744041257687172,符合物理直觉
有效散热面积 -10%,area,78.59317526553582,0.0784310005738007,符合物理直觉
