分潮,角速度_deg_h,周期_h,振幅_m,相位_deg,方差贡献,方差占比_pct
M2,28.9841042,12.420601220444135,0.47614967511016243,198.0687929285002,0.11335925655375662,37.4073659148806
K1,15.0410686,23.934469655965803,0.4240811797817327,278.14508628727754,0.08992242352253314,29.67345678617007
O1,13.9430356,25.819341664737628,0.35926458362626607,193.6987173522339,0.06453552052407716,21.296045017785005
S2,30.0,12.0,0.18743868274511147,294.47658154002477,0.017566629894611274,5.796803651825185
P1,14.9589314,24.065890161111373,0.11929348803714299,299.7715715883353,0.0071154681440339885,2.3480298707969522
N2,28.4397295,12.658348244838265,0.09699632088988375,189.613746381655,0.004704143133086649,1.552317903672011
K2,30.0821373,11.967234788201036,0.0797869539042457,86.327095738343,0.003182979006659114,1.0503496937192542
Q1,13.3986609,26.86835667286721,0.06462624168230241,182.7171242742709,0.0020882755569896806,0.6891090349941551
M4,57.9682084,6.210300610222068,0.0250046210988996,214.70411155350703,0.00031261553814976756,0.10315984932999403
Mm,0.5443747,661.3092048546708,0.01741672925839075,22.730769801865165,0.00015167122903004217,0.05004991507152249
MS4,58.9841042,6.1033392789917125,0.014054388313092756,339.24804490150296,9.876291542759912e-05,0.03259072640855438
M6,86.9523127,4.140200402053251,0.0017613476243266396,300.7455065639203,1.5511727268605484e-06,0.0005118707334088702
Mf,1.0980331,327.8589689145072,0.0011275376209183383,64.61773844623028,6.356705432930932e-07,0.00020976461329383762
